playoff,year,tmID,lost,o_reb,home_win_pct,away_win_pct,conf_win_rate,scoring_efficiency,reb_efficiency,defensive_pts_efficiency,def_reb_efficiency,off_reb_efficiency,ast_to_ratio,steals_per_game,blocks_per_game,playoff_win_pct
N,2,POR,21,996,0.375,0.3125,0.238095238095238,1.1041776837652035,0.5267054468535166,68.8125,0.5689300411522634,0.5267054468535166,0.902,7.625,3.3125,0.0
N,3,POR,16,948,0.5625,0.4375,0.3809523809523809,1.1250640697078422,0.4859046642747309,69.59375,0.5368700265251989,0.4859046642747309,0.9979716024340772,7.46875,3.75,0.0
Y,1,SAC,11,1038,0.8125,0.5,0.6190476190476191,1.1756146512794785,0.520822880080281,68.0,0.4958289885297184,0.520822880080281,1.237991266375546,10.375,4.90625,0.0
Y,2,SAC,12,1097,0.75,0.5,0.6190476190476191,1.1621073961499493,0.5557244174265451,66.84375,0.5017473789316026,0.5557244174265451,1.1295546558704452,8.625,4.9375,0.0
N,3,SAC,18,949,0.625,0.25,0.3809523809523809,1.113624678663239,0.4879177377892031,71.6875,0.5529835390946503,0.4879177377892031,1.0964912280701755,7.71875,3.40625,0.0
Y,4,SAC,15,1067,0.7058823529411765,0.4117647058823529,0.5416666666666666,1.091124822021832,0.50640721404841,65.17647058823529,0.5504771471622301,0.50640721404841,1.2321041214750543,8.735294117647058,3.588235294117647,0.0
Y,5,SAC,16,1024,0.5882352941176471,0.4705882352941176,0.5454545454545454,1.1158301158301158,0.4942084942084942,65.91176470588235,0.5267094017094017,0.4942084942084942,1.0701030927835051,9.235294117647058,3.4705882352941178,0.0
Y,6,SAC,9,1043,0.8823529411764706,0.5882352941176471,0.7727272727272727,1.1727089627391742,0.5251762336354482,61.55882352941177,0.5304443225452551,0.5251762336354482,1.054,8.941176470588236,3.176470588235294,0.0
Y,7,SAC,13,1138,0.8235294117647058,0.4117647058823529,0.5,1.1584474885844749,0.5196347031963471,70.70588235294117,0.5042058386937159,0.5196347031963471,0.9391143911439116,9.705882352941176,2.588235294117647,0.0
Y,8,SAC,15,1175,0.7058823529411765,0.4117647058823529,0.5454545454545454,1.1413730803974709,0.530713640469738,72.94117647058823,0.4930321960595867,0.530713640469738,0.8788870703764321,9.558823529411764,2.9705882352941178,0.0
Y,9,SAC,16,1109,0.7647058823529411,0.2941176470588235,0.45,1.1787864752200092,0.5136637332098194,75.61764705882354,0.5051691729323309,0.5136637332098194,0.8071672354948806,9.382352941176473,2.264705882352941,0.0
N,10,SAC,22,1154,0.4117647058823529,0.2941176470588235,0.3,1.1896080218778486,0.5259799453053783,79.11764705882354,0.4628545700135074,0.5259799453053783,0.9246575342465754,8.5,2.8823529411764706,0.0
N,4,SAS,22,1145,0.5294117647058824,0.1764705882352941,0.4166666666666667,1.071083172147002,0.5536750483558994,71.38235294117646,0.5386029411764706,0.5536750483558994,0.834307992202729,5.5,4.911764705882353,0.0
N,5,SAS,25,1003,0.3529411764705882,0.1764705882352941,0.2727272727272727,1.129381443298969,0.5170103092783506,69.52941176470588,0.5162256615077384,0.5170103092783506,0.9610136452241717,8.0,3.117647058823529,0.0
N,6,SAS,27,946,0.2941176470588235,0.1176470588235294,0.1363636363636363,1.1680305510092743,0.5160938352427714,70.61764705882354,0.5123846527440505,0.5160938352427714,0.8093457943925234,5.735294117647059,2.647058823529412,0.0
N,7,SAS,21,1168,0.3529411764705882,0.4117647058823529,0.5,1.1188470066518847,0.517960088691796,76.55882352941177,0.5468611847922192,0.517960088691796,1.1065573770491803,7.235294117647059,2.4411764705882355,0.0
Y,8,SAS,14,1087,0.5294117647058824,0.6470588235294118,0.5909090909090909,1.1567095588235294,0.4995404411764705,73.05882352941177,0.5315568022440392,0.4995404411764705,1.0161290322580645,8.323529411764707,3.823529411764706,0.0
